epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.59148,5.32748,26.3804,3.50128,0.0001,0.01786,6e-05,1e-05,5.37779,16.8327,3.66761,0.0865,0.0015,0.0015
2,8.94317,5.08131,9.33081,2.9965,0,0,0,0,4.87644,4.93337,2.78023,0.0720992,0.00309924,0.00309924
3,13.4676,4.18144,4.6542,1.98932,0.00095,0.05556,0.00077,0.00013,4.33089,3.86281,2.16678,0.0576954,0.00469541,0.00469541
4,18.6752,3.50991,3.37164,1.64594,0.10717,0.0733,0.02763,0.00634,3.60364,2.7818,1.64149,0.0432862,0.00628616,0.00628616
5,23.8068,3.08765,3.15325,1.45287,0.01388,0.15675,0.01565,0.00417,3.21834,4.47569,1.352,0.0288692,0.00786916,0.00786916
6,28.403,3.03241,4.36415,1.26813,0.30303,0.44048,0.10247,0.03255,2.99408,11.4017,1.34884,0.0144421,0.0094421,0.0094421
7,34.4394,2.74167,7.7407,1.32153,0.57746,0.0873,0.05719,0.01806,2.89768,54.2891,1.36516,0.00991232,0.00991232,0.00991232
8,39.2069,2.87646,5.15041,1.34244,0.55674,0.07143,0.10631,0.03013,2.92689,3.01785,1.32419,0.00988079,0.00988079,0.00988079
9,44.0594,2.70613,3.53936,1.30397,0.67222,0.08929,0.1685,0.05087,2.65322,2.67531,1.24892,0.00984449,0.00984449,0.00984449
10,49.1316,2.68449,2.65837,1.31251,0.12667,0.1746,0.12252,0.03685,2.96217,3.4469,1.27462,0.00980345,0.00980345,0.00980345
11,53.8708,2.52912,2.54688,1.27116,0.58176,0.125,0.21267,0.0531,2.75588,2.75446,1.28314,0.00975773,0.00975773,0.00975773
12,58.8755,2.60457,2.75368,1.26355,0.64769,0.34127,0.18405,0.05085,2.54976,5.1598,1.19719,0.00970736,0.00970736,0.00970736
13,63.5346,2.49845,2.31314,1.20161,0.69343,0.18254,0.15677,0.03658,2.84065,3.37352,1.28857,0.00965239,0.00965239,0.00965239
14,68.1202,2.69094,1.94782,1.36539,0.69075,0.19048,0.20733,0.05728,2.67655,3.85138,1.28664,0.00959289,0.00959289,0.00959289
15,73.0512,2.44496,2.32722,1.25198,0.52427,0.2996,0.33492,0.09706,2.44896,1.90266,1.23712,0.00952889,0.00952889,0.00952889
16,77.9993,2.44416,2.71412,1.18159,0.35478,0.36523,0.26576,0.06732,2.78002,1.89442,1.25033,0.00946048,0.00946048,0.00946048
17,82.6356,2.45337,1.83945,1.20102,0.3392,0.41616,0.34624,0.09124,2.59074,1.92206,1.25268,0.00938772,0.00938772,0.00938772
18,87.295,2.48026,1.71226,1.18866,0.40891,0.59237,0.39858,0.10249,2.42611,1.65801,1.20802,0.00931067,0.00931067,0.00931067
19,92.4307,2.29951,1.89364,1.16538,0.45166,0.51431,0.40248,0.11014,2.41158,1.76483,1.18081,0.00922942,0.00922942,0.00922942
20,97.4307,2.32297,1.87537,1.16163,0.39957,0.53839,0.39994,0.10518,2.53288,2.44115,1.23639,0.00914405,0.00914405,0.00914405
